Object,Band,mag_5kpc,e_5kpc,magerr_5kpc,zerr_5kpc,npix_5kpc,mag_10kpc,e_10kpc,magerr_10kpc,zerr_10kpc,npix_10kpc,mag_15kpc,e_15kpc,magerr_15kpc,zerr_15kpc,npix_15kpc,mag_30kpc,e_30kpc,magerr_30kpc,zerr_30kpc,npix_30kpc
SN2017jbj,NUV,19.798785660584514,0.18799574051126586,0.18715365695870712,0.01777377667694166,297,19.070411386029022,0.666735958434805,0.6658586314296684,0.034192414664469865,1171,18.723176575535483,1.0002555707433205,1.0000362885853311,0.02094345519540563,2616,17.81934433893731,1.6609965932571797,1.6607221458219037,0.030193330201363784,10373
SN2014dw,NUV,16.678174086470136,1.718416631642377,1.7172080114320896,0.06443884991665319,845,15.744465793085528,2.255061114641685,2.2530204339760673,0.09591430996098779,3307,15.213730924449132,2.6082442520890123,2.608230433627024,0.008490209488500152,7390,14.895195646228524,2.9547918455837747,2.9547892465410723,0.003919088365001829,29411
SN2016B,FUV,16.83388376754421,1.4070403498101673,1.407029656840057,0.005485505124344072,2846,16.767173052237684,1.697810141933525,1.6978038888595597,0.004607930738677093,11275,16.69557232728032,1.8928501409768255,1.8928376058392904,0.006888694837978229,25296,16.491466181095895,2.383044343802705,2.383009667210019,0.01285575799623391,100832
SN2016B,NUV,16.543956270401704,1.9697295775057388,1.9697239363749293,0.004714124795708404,2846,16.47517067848937,2.1777382654864827,2.1777372145213105,0.0021394983146624685,11275,16.34365966946015,2.3406214087412995,2.3404475342635913,0.028529255468400287,25296,15.701804242380527,2.827275465118538,2.826500165874414,0.06620700848970859,100832
ASASSN-15fz,NUV,18.216821738885663,0.9403674671458168,0.9386584941823918,0.05666749125807173,198,17.37889412338467,1.3436252077425432,1.3434982568900578,0.018469775704339147,756,17.000812582284105,1.5763375139490752,1.5758640164535962,0.03863365799262704,1687,16.365305990039992,2.0270745388804077,2.0270247749366,0.01420380126735746,6658
SN2016C,NUV,-99,-99,-99,-99,3984,-99,-99,-99,-99,15818,15.86508996731321,4.280307701635702,3.9990249361867876,1.5260516309870271,35493,13.952002600943597,4.5442129833224545,4.542270535988874,0.13285336158225286,141608
SN2016P,FUV,17.999091653179025,0.4284131726769825,0.42524085156554237,0.05203906881344388,268,17.018254723205448,1.0325581533597312,1.0310603703412362,0.05559543849499763,1050,16.49737981071606,1.3867006997344409,1.386658608103656,0.010804407249796536,2346,15.80288482911584,1.956131775253308,1.956114604917756,0.00819601019461222,9309
SN2016P,NUV,17.749361448262707,1.1759064872303528,1.1745104749492878,0.05728185528442715,268,16.69843272774829,1.7477464492532375,1.7466513303151174,0.061860982741386655,1050,16.162045737544926,2.0981216527803657,2.09808721328209,0.012021452824311123,2346,15.404074935476544,2.660727962568829,2.6607170641548743,0.0076154652345741345,9309
SN2018ddr,FUV,18.959791178668805,0.08928216792444787,0.07601643257643391,0.046827422389469464,262,18.212573141581327,0.6202119802675844,0.6201598993178272,0.008037396689279667,1030,17.938707576433885,0.91553630493053,0.915512676854721,0.006577550011320427,2291,17.664646245594486,1.3586963033435573,1.3586961688481152,0.0006045468565581602,9064
SN2018ddr,NUV,18.33165385559328,0.9247290843836908,0.9223712349231911,0.0659938216151076,262,17.554388335022097,1.393551444057552,1.3935391651889348,0.00584998456537962,1030,17.279572246544696,1.6094600123682323,1.6094512490655237,0.005311148065705143,2291,17.01499368007822,1.9826342258070464,1.9826342029058077,0.00030134624468508884,9064
